"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"합계","합계","계",148272,153641,163999,213216,269101,271784,268421,450568,511395,494391,560853,726741,768504,574551,749612,858240,833672,897205,921586,974060,1250236,1344404,1525396,1879499,1485451
"합계","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,610257,441096,610630,677884,665613,725319,761836,770656,1070693,1157158,1336372,1655635,1297490
"합계","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,158247,133455,138982,180356,168059,171886,159750,203404,179543,187246,189024,223864,187961
"합계","컴퓨터 및 주변기기","계",4915,4052,3912,3529,2903,2697,3804,4048,4211,3693,3160,3270,2610,2043,2018,2158,5236,3854,4320,4511,3702,4038,3670,3826,4152
"합계","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,5,3,5,1,2,6,1,215,2,0,1,70,113
"합계","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2605,2040,2013,2157,5234,3848,4319,4296,3700,4038,3669,3756,4039
"합계","가전·전자·통신기기","계",13259,13824,13560,14200,13399,13587,12857,17621,16916,16176,15681,17845,18617,15715,19113,21696,25635,28160,27358,18073,21429,22798,25419,24131,12517
"합계","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,8935,6273,9006,12680,18038,21188,20481,11104,14072,15843,17370,15478,4999
"합계","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,9682,9442,10107,9016,7597,6972,6877,6969,7357,6955,8049,8653,7518
"합계","소프트웨어","계",361,330,372,595,807,484,591,434,418,303,150,145,116,84,98,316,244,379,313,408,150,228,144,387,146
"합계","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,116,84,98,316,244,379,313,408,150,228,144,387,146
"합계","서 적","계",1563,1231,1721,1656,1819,1710,2250,2570,3364,3383,3523,4506,4882,3617,6556,6469,6193,7077,7434,7647,6357,6081,5727,6107,6716
"합계","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,4882,3617,6556,6469,6193,7077,7434,7647,6357,6081,5727,6107,6716
"합계","사무·문구","계",2094,1756,6035,8486,1577,1082,1188,1385,1378,1380,1177,1692,1400,1288,2211,1216,1111,1054,1155,1021,1603,1450,1577,1268,1394
